Range	Pass	Genotype
6	16	B73/PHW30-063 - (2n)-02
6	17	PHW30/B73-055 - (2n)-01
6	18	PHW30/Mo17-160 - (2n)-02
6	19	PHW30/B73-221 - (2n)-02
6	20	B73
6	21	PHW30/Mo17-266 - (2n)-01
6	22	Mo17/PHW30-109 - (2n)-01
6	23	B73/PHW30-154 - (2n)-01
6	24	PHW30/Mo17-101 - (2n)-01
6	25	B73/PHW30-098 - (2n)-01
6	26	Mo17/PHW30-456 - (2n)-02
6	27	B73/PHW30-092 - (2n)-01
6	28	B73/PHW30-201 - (2n)-01
6	29	B73/PHW30-026 - (2n)-01
6	30	B73/PHW30-183 - (2n)-02
6	31	B73/PHW30-211 - (2n)-01
6	32	PHW30/B73-009 - (2n)-02
7	1	Mo17/PHW30-231 - (2n)-01
7	2	B73/PHW30-396 - (2n)-02
7	3	B73
7	4	PHW30/Mo17-076 - (2n)-01
7	5	Mo17/PHW30-086 - (2n)-01
7	6	PHW30/B73-157 - (2n)-01
7	7	Mo17/PHW30-324 - (2n)-02
7	8	B73/PHW30-285 - (2n)-01
7	9	PHW30
7	10	Mo17/PHW30-086 - (2n)-02
7	11	Mo17/PHW30-016 - (2n)-01
7	12	PHW30/Mo17-099 - (2n)-01
7	13	PHW30/B73-302 - (2n)-02
7	14	B73/PHW30-409 - (2n)-01
7	15	Mo17/PHW30-332 - (2n)-02
7	16	PHW30/Mo17-278 - (2n)-02
7	17	Mo17/PHW30-200 - (2n)-02
7	18	Mo17
7	19	B73/PHW30-207 - (2n)-02
7	20	PHW30/Mo17-028 - (2n)-01
7	21	B73/PHW30-041 - (2n)-01
7	22	PHW30/Mo17-010 - (2n)-02
7	23	Mo17/PHW30-157 - (2n)-01
7	24	B73/PHW30-163 - (2n)-02
7	25	PHW30/B73-055 - (2n)-02
7	26	PHW30/B73-302 - (2n)-01
7	27	PHW30/B73-139 - (2n)-02
7	28	PHW30/Mo17-019 - (2n)-02
7	29	PHW30/B73-311 - (2n)-02
7	30	PHW30/Mo17-061 - (2n)-01
7	31	Mo17/PHW30-121 - (2n)-02
7	32	PHW30/B73-066 - (2n)-01
8	1	PHW30/B73-204 - (2n)-01
8	2	PHW30/B73-029 - (2n)-01
8	3	PHW30/Mo17-037 - (2n)-02
8	4	PHW30/B73-355 - (2n)-02
8	5	PHW30/Mo17-099 - (2n)-02
8	6	PHW30/B73-351 - (2n)-01
8	7	PHW30/Mo17-088 - (2n)-02
8	8	B73/PHW30-100 - (2n)-01
8	9	PHW30/Mo17-077 - (2n)-02
8	10	B73/PHW30-183 - (2n)-01
8	11	Mo17/PHW30-081 - (2n)-03
8	12	B73/PHW30-102 - (2n)-03
8	13	B73/PHW30-226 - (2n)-01
8	14	B73/PHW30-163 - (2n)-01
8	15	PHW30/Mo17-089 - (2n)-01
8	16	B73/PHW30-258 - (2n)-01
8	17	Mo17/PHW30-008 - (2n)-01
8	18	B73
8	19	PHW30/B73-232 - (2n)-02
8	20	Mo17
8	21	PHW30/Mo17-077 - (2n)-01
8	22	PHW30/B73-434 - (2n)-01
8	23	Mo17/PHW30-044 - (2n)-02
8	24	PHW30/B73-372 - (2n)-01
8	25	Mo17/PHW30-409 - (2n)-02
8	26	PHW30/B73-241 - (2n)-01
8	27	PHW30/Mo17-165 - (2n)-01
8	28	PHW30/Mo17-019 - (2n)-01
8	29	PHW30
8	30	PHW30/Mo17-050 - (2n)-01
8	31	PHW30/B73-161 - (2n)-01
8	32	PHW30/Mo17-059 - (2n)-01
9	1	Mo17/PHW30-254 - (2n)-02
9	2	PHW30/B73-287 - (2n)-01
9	3	PHW30
9	4	PHW30/Mo17-032 - (2n)-01
9	5	PHW30/Mo17-095 - (2n)-02
9	6	Mo17/PHW30-084 - (2n)-01
9	7	Mo17/PHW30-279 - (2n)-01
9	8	Mo17
9	9	B73
9	10	PHW30/Mo17-188 - (2n)-01
9	11	PHW30/Mo17-059 - (2n)-02
9	12	Mo17/PHW30-148 - (2n)-01
9	13	PHW30/B73-243 - (2n)-02
9	14	B73/PHW30-097 - (2n)-02
9	15	B73/PHW30-098 - (2n)-03
9	16	PHW30/B73-161 - (2n)-02
